,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,0.0,0.0,5.0,4.0,0.0,5.0,10.0,2.0,6.0,4.0,4.0,9.0,6.0,10.0,142.0,65.0,0.45774647887323944
1,Baltimore,6.0,4.0,5.0,6.0,9.0,6.0,8.0,0.0,6.0,6.0,3.0,0.0,0.0,1.0,142.0,60.0,0.4225352112676056
2,Chicago,5.0,0.0,8.0,9.0,9.0,9.0,5.0,9.0,6.0,9.0,7.0,1.0,1.0,8.0,142.0,86.0,0.6056338028169014
3,Columbus,2.0,9.0,1.0,3.0,0.0,5.0,5.0,7.0,1.0,7.0,2.0,5.0,9.0,6.0,142.0,62.0,0.43661971830985913
4,Dallas,1.0,8.0,1.0,0.0,7.0,8.0,8.0,1.0,0.0,4.0,3.0,2.0,5.0,4.0,142.0,52.0,0.36619718309859156
5,Fort Jackson,0.0,8.0,3.0,6.0,3.0,6.0,8.0,2.0,2.0,9.0,8.0,1.0,2.0,5.0,142.0,63.0,0.44366197183098594
6,Fort Lee,4.0,1.0,7.0,2.0,5.0,6.0,0.0,1.0,3.0,8.0,8.0,7.0,8.0,7.0,142.0,67.0,0.47183098591549294
7,Houston,0.0,2.0,10.0,10.0,0.0,6.0,8.0,0.0,8.0,2.0,0.0,6.0,0.0,7.0,142.0,59.0,0.4154929577464789
8,Jacksonville,2.0,3.0,3.0,2.0,5.0,7.0,0.0,6.0,5.0,7.0,6.0,0.0,7.0,4.0,142.0,57.0,0.4014084507042254
9,Los Angeles,6.0,7.0,7.0,0.0,3.0,2.0,3.0,3.0,8.0,1.0,6.0,0.0,5.0,4.0,142.0,55.0,0.3873239436619718
10,Miami,2.0,10.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,6.0,9.0,2.0,3.0,4.0,142.0,53.0,0.3732394366197183
11,Montgomery,2.0,2.0,8.0,1.0,5.0,0.0,1.0,2.0,10.0,10.0,6.0,0.0,3.0,0.0,142.0,50.0,0.352112676056338
12,New York,7.0,7.0,6.0,6.0,8.0,1.0,3.0,0.0,8.0,1.0,4.0,10.0,10.0,4.0,142.0,75.0,0.528169014084507
13,Phoenix,0.0,6.0,5.0,6.0,8.0,3.0,3.0,3.0,6.0,9.0,5.0,8.0,1.0,2.0,142.0,65.0,0.45774647887323944
14,Raleigh,1.0,3.0,10.0,6.0,3.0,4.0,7.0,9.0,9.0,1.0,9.0,2.0,2.0,9.0,142.0,75.0,0.528169014084507
15,Sacramento,4.0,1.0,6.0,1.0,1.0,0.0,9.0,7.0,6.0,10.0,4.0,2.0,0.0,5.0,142.0,56.0,0.39436619718309857
16,San Antonio,6.0,10.0,10.0,7.0,5.0,6.0,7.0,4.0,2.0,4.0,5.0,8.0,2.0,4.0,142.0,80.0,0.5633802816901409
17,San Diego,9.0,2.0,5.0,5.0,7.0,9.0,3.0,5.0,4.0,10.0,6.0,10.0,8.0,10.0,142.0,93.0,0.6549295774647887
18,San Jose,4.0,9.0,1.0,0.0,6.0,9.0,3.0,8.0,8.0,5.0,7.0,3.0,2.0,10.0,142.0,75.0,0.528169014084507
19,St Louis,8.0,2.0,0.0,10.0,0.0,9.0,5.0,0.0,0.0,7.0,1.0,3.0,3.0,0.0,142.0,48.0,0.3380281690140845
20,Tampa,4.0,9.0,1.0,2.0,0.0,0.0,5.0,4.0,8.0,6.0,0.0,9.0,3.0,7.0,142.0,58.0,0.4084507042253521
21,Boston,8.0,3.0,4.0,4.0,2.0,4.0,0.0,0.0,6.0,10.0,7.0,6.0,0.0,7.0,142.0,61.0,0.4295774647887324
22,Charlotte,9.0,4.0,4.0,7.0,8.0,6.0,5.0,4.0,4.0,8.0,9.0,8.0,2.0,9.0,142.0,87.0,0.6126760563380281
23,Cleveland,3.0,7.0,7.0,10.0,0.0,3.0,6.0,1.0,9.0,10.0,4.0,6.0,5.0,2.0,142.0,73.0,0.5140845070422535
