,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,10.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,10.0,2.0,8.0,4.0,3.0,142.0,58.0,0.4084507042253521
1,Baltimore,1.0,0.0,0.0,4.0,10.0,0.0,5.0,5.0,3.0,9.0,3.0,0.0,7.0,10.0,142.0,57.0,0.4014084507042254
2,Chicago,9.0,4.0,8.0,2.0,8.0,9.0,5.0,7.0,4.0,4.0,10.0,2.0,3.0,7.0,142.0,82.0,0.5774647887323944
3,Columbus,6.0,10.0,6.0,4.0,7.0,6.0,9.0,9.0,3.0,6.0,6.0,5.0,5.0,10.0,142.0,92.0,0.647887323943662
4,Dallas,5.0,6.0,10.0,2.0,9.0,7.0,1.0,10.0,10.0,2.0,6.0,10.0,7.0,1.0,142.0,86.0,0.6056338028169014
5,Fort Jackson,3.0,7.0,4.0,4.0,2.0,6.0,7.0,1.0,10.0,7.0,7.0,4.0,2.0,3.0,142.0,67.0,0.47183098591549294
6,Fort Lee,9.0,8.0,0.0,4.0,8.0,9.0,1.0,3.0,10.0,2.0,9.0,1.0,4.0,6.0,142.0,74.0,0.5211267605633803
7,Houston,2.0,7.0,4.0,2.0,0.0,5.0,10.0,4.0,9.0,8.0,9.0,6.0,10.0,3.0,142.0,79.0,0.5563380281690141
8,Jacksonville,7.0,2.0,6.0,4.0,3.0,4.0,9.0,2.0,3.0,3.0,7.0,6.0,10.0,5.0,142.0,71.0,0.5
9,Los Angeles,10.0,8.0,9.0,8.0,6.0,5.0,2.0,5.0,4.0,9.0,6.0,5.0,7.0,9.0,142.0,93.0,0.6549295774647887
10,Miami,9.0,2.0,5.0,7.0,3.0,1.0,0.0,7.0,8.0,9.0,10.0,6.0,8.0,0.0,142.0,75.0,0.528169014084507
11,Montgomery,9.0,2.0,8.0,9.0,1.0,3.0,1.0,9.0,4.0,6.0,0.0,8.0,2.0,1.0,142.0,63.0,0.44366197183098594
12,New York,2.0,1.0,1.0,4.0,9.0,2.0,10.0,7.0,7.0,1.0,9.0,6.0,2.0,3.0,142.0,64.0,0.4507042253521127
13,Phoenix,5.0,10.0,10.0,2.0,2.0,4.0,3.0,1.0,9.0,6.0,7.0,0.0,7.0,6.0,142.0,72.0,0.5070422535211268
14,Raleigh,2.0,10.0,0.0,4.0,6.0,5.0,5.0,0.0,0.0,6.0,6.0,10.0,1.0,0.0,142.0,55.0,0.3873239436619718
15,Sacramento,9.0,6.0,10.0,10.0,10.0,5.0,2.0,10.0,6.0,3.0,3.0,6.0,8.0,1.0,142.0,89.0,0.6267605633802817
16,San Antonio,9.0,8.0,0.0,4.0,2.0,3.0,10.0,6.0,10.0,9.0,9.0,1.0,6.0,8.0,142.0,85.0,0.5985915492957746
17,San Diego,3.0,7.0,3.0,9.0,1.0,0.0,3.0,5.0,7.0,10.0,10.0,1.0,4.0,3.0,142.0,66.0,0.4647887323943662
18,San Jose,4.0,4.0,10.0,2.0,2.0,6.0,4.0,4.0,2.0,9.0,10.0,6.0,8.0,6.0,142.0,77.0,0.5422535211267606
19,St Louis,6.0,8.0,7.0,0.0,3.0,0.0,7.0,3.0,9.0,3.0,10.0,4.0,10.0,0.0,142.0,70.0,0.49295774647887325
20,Tampa,8.0,10.0,7.0,10.0,1.0,7.0,7.0,4.0,7.0,5.0,7.0,5.0,9.0,7.0,142.0,94.0,0.6619718309859155
21,Boston,2.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,4.0,9.0,0.0,8.0,2.0,7.0,142.0,43.0,0.3028169014084507
22,Charlotte,5.0,6.0,0.0,7.0,0.0,3.0,5.0,0.0,5.0,9.0,2.0,9.0,2.0,1.0,142.0,54.0,0.38028169014084506
23,Cleveland,8.0,10.0,4.0,8.0,1.0,6.0,5.0,9.0,4.0,6.0,10.0,1.0,3.0,5.0,142.0,80.0,0.5633802816901409
24,Denver,10.0,0.0,0.0,3.0,6.0,3.0,0.0,1.0,4.0,4.0,6.0,7.0,10.0,3.0,142.0,57.0,0.4014084507042254
25,Detroit,10.0,8.0,6.0,1.0,5.0,3.0,10.0,7.0,6.0,6.0,10.0,10.0,6.0,2.0,142.0,90.0,0.6338028169014085
