,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,9.0,4.0,7.0,1.0,2.0,4.0,9.0,8.0,6.0,7.0,7.0,0.0,2.0,6.0,142.0,72.0,0.5070422535211268
1,Baltimore,3.0,0.0,2.0,6.0,6.0,1.0,10.0,3.0,2.0,10.0,5.0,7.0,5.0,4.0,142.0,64.0,0.4507042253521127
2,Chicago,0.0,7.0,4.0,1.0,7.0,3.0,1.0,9.0,4.0,0.0,9.0,9.0,9.0,2.0,142.0,65.0,0.45774647887323944
3,Columbus,1.0,0.0,2.0,8.0,4.0,3.0,1.0,6.0,1.0,7.0,5.0,1.0,5.0,8.0,142.0,52.0,0.36619718309859156
4,Dallas,0.0,1.0,9.0,6.0,7.0,1.0,4.0,10.0,3.0,8.0,1.0,8.0,7.0,8.0,142.0,73.0,0.5140845070422535
5,Fort Jackson,7.0,7.0,4.0,8.0,7.0,1.0,9.0,7.0,0.0,3.0,1.0,6.0,5.0,0.0,142.0,65.0,0.45774647887323944
6,Fort Lee,6.0,9.0,6.0,8.0,9.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,142.0,61.0,0.4295774647887324
7,Houston,3.0,9.0,7.0,6.0,1.0,2.0,4.0,10.0,3.0,3.0,10.0,7.0,2.0,8.0,142.0,75.0,0.528169014084507
8,Jacksonville,10.0,3.0,8.0,0.0,9.0,1.0,10.0,3.0,0.0,1.0,7.0,4.0,8.0,6.0,142.0,70.0,0.49295774647887325
9,Los Angeles,5.0,8.0,10.0,2.0,7.0,6.0,1.0,10.0,8.0,2.0,2.0,8.0,8.0,9.0,142.0,86.0,0.6056338028169014
10,Miami,8.0,10.0,1.0,4.0,3.0,6.0,5.0,3.0,5.0,6.0,4.0,8.0,6.0,9.0,142.0,78.0,0.5492957746478874
11,Montgomery,4.0,4.0,2.0,5.0,9.0,1.0,1.0,10.0,8.0,5.0,5.0,7.0,5.0,1.0,142.0,67.0,0.47183098591549294
12,New York,8.0,10.0,1.0,2.0,0.0,0.0,4.0,10.0,3.0,9.0,8.0,0.0,5.0,2.0,142.0,62.0,0.43661971830985913
13,Phoenix,3.0,6.0,9.0,0.0,9.0,10.0,10.0,1.0,6.0,9.0,0.0,9.0,5.0,4.0,142.0,81.0,0.5704225352112676
14,Raleigh,5.0,3.0,3.0,7.0,3.0,9.0,5.0,5.0,7.0,7.0,2.0,9.0,7.0,10.0,142.0,82.0,0.5774647887323944
15,Sacramento,1.0,2.0,2.0,0.0,0.0,3.0,6.0,3.0,9.0,8.0,5.0,9.0,10.0,2.0,142.0,60.0,0.4225352112676056
16,San Antonio,1.0,3.0,3.0,4.0,7.0,5.0,0.0,9.0,7.0,7.0,5.0,8.0,1.0,8.0,142.0,68.0,0.4788732394366197
17,San Diego,7.0,9.0,4.0,7.0,6.0,1.0,3.0,4.0,0.0,9.0,8.0,3.0,2.0,0.0,142.0,63.0,0.44366197183098594
18,San Jose,0.0,9.0,8.0,3.0,4.0,8.0,6.0,0.0,3.0,8.0,3.0,2.0,9.0,4.0,142.0,67.0,0.47183098591549294
19,St Louis,4.0,10.0,6.0,2.0,10.0,0.0,0.0,5.0,0.0,6.0,0.0,8.0,9.0,5.0,142.0,65.0,0.45774647887323944
20,Tampa,9.0,0.0,9.0,9.0,10.0,4.0,7.0,2.0,5.0,0.0,10.0,9.0,1.0,1.0,142.0,76.0,0.5352112676056338
21,Boston,8.0,9.0,10.0,9.0,7.0,3.0,4.0,10.0,3.0,10.0,5.0,0.0,7.0,0.0,142.0,85.0,0.5985915492957746
22,Charlotte,9.0,0.0,5.0,4.0,7.0,3.0,6.0,1.0,9.0,9.0,9.0,8.0,3.0,10.0,142.0,83.0,0.5845070422535211
23,Cleveland,4.0,5.0,3.0,0.0,6.0,3.0,1.0,6.0,1.0,8.0,6.0,8.0,7.0,4.0,142.0,62.0,0.43661971830985913
24,Denver,4.0,6.0,7.0,1.0,10.0,2.0,3.0,7.0,3.0,0.0,2.0,0.0,9.0,4.0,142.0,58.0,0.4084507042253521
25,Detroit,1.0,7.0,1.0,0.0,8.0,2.0,6.0,4.0,8.0,0.0,7.0,10.0,1.0,8.0,142.0,63.0,0.44366197183098594
26,Fort Dix,1.0,6.0,4.0,6.0,4.0,1.0,10.0,9.0,9.0,2.0,0.0,0.0,3.0,4.0,142.0,59.0,0.4154929577464789
27,Harrisburg,5.0,1.0,9.0,9.0,2.0,10.0,8.0,8.0,1.0,6.0,3.0,4.0,3.0,3.0,142.0,72.0,0.5070422535211268
28,Indianapolis,8.0,5.0,9.0,2.0,4.0,7.0,1.0,5.0,3.0,9.0,2.0,4.0,6.0,9.0,142.0,74.0,0.5211267605633803
29,Kansas City,4.0,0.0,7.0,1.0,3.0,2.0,6.0,5.0,0.0,2.0,1.0,8.0,7.0,9.0,142.0,55.0,0.3873239436619718
