,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,7.0,9.0,9.0,0.0,4.0,7.0,6.0,2.0,9.0,2.0,9.0,2.0,5.0,4.0,142.0,75.0,0.528169014084507
1,Baltimore,7.0,9.0,3.0,6.0,1.0,7.0,4.0,6.0,10.0,6.0,0.0,7.0,3.0,1.0,142.0,70.0,0.49295774647887325
2,Chicago,5.0,7.0,4.0,0.0,2.0,8.0,10.0,1.0,10.0,5.0,5.0,4.0,7.0,1.0,142.0,69.0,0.4859154929577465
3,Columbus,8.0,9.0,3.0,7.0,9.0,1.0,0.0,6.0,8.0,2.0,9.0,6.0,0.0,0.0,142.0,68.0,0.4788732394366197
4,Dallas,9.0,2.0,1.0,9.0,8.0,1.0,9.0,9.0,9.0,7.0,3.0,7.0,10.0,9.0,142.0,93.0,0.6549295774647887
5,Fort Jackson,10.0,0.0,10.0,4.0,8.0,0.0,0.0,2.0,1.0,1.0,5.0,10.0,0.0,7.0,142.0,58.0,0.4084507042253521
6,Fort Lee,9.0,4.0,4.0,3.0,6.0,4.0,8.0,8.0,1.0,8.0,5.0,4.0,5.0,7.0,142.0,76.0,0.5352112676056338
7,Houston,3.0,2.0,8.0,8.0,3.0,5.0,4.0,10.0,5.0,10.0,8.0,9.0,6.0,3.0,142.0,84.0,0.5915492957746479
8,Jacksonville,5.0,4.0,9.0,0.0,6.0,8.0,8.0,7.0,4.0,6.0,8.0,1.0,8.0,0.0,142.0,74.0,0.5211267605633803
9,Los Angeles,5.0,9.0,7.0,1.0,5.0,10.0,3.0,7.0,5.0,10.0,9.0,1.0,1.0,4.0,142.0,77.0,0.5422535211267606
10,Miami,5.0,5.0,4.0,1.0,10.0,9.0,8.0,5.0,2.0,9.0,2.0,2.0,7.0,8.0,142.0,77.0,0.5422535211267606
11,Montgomery,1.0,3.0,0.0,6.0,6.0,8.0,2.0,7.0,7.0,2.0,7.0,3.0,5.0,5.0,142.0,62.0,0.43661971830985913
12,New York,6.0,6.0,6.0,4.0,1.0,9.0,6.0,2.0,3.0,7.0,0.0,10.0,4.0,3.0,142.0,67.0,0.47183098591549294
13,Phoenix,10.0,8.0,4.0,1.0,1.0,10.0,0.0,9.0,1.0,0.0,2.0,1.0,2.0,9.0,142.0,58.0,0.4084507042253521
14,Raleigh,8.0,10.0,3.0,6.0,10.0,3.0,8.0,8.0,8.0,7.0,1.0,8.0,9.0,10.0,142.0,99.0,0.6971830985915493
