,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,0.0,4.0,1.0,4.0,5.0,2.0,2.0,3.0,4.0,7.0,5.0,6.0,3.0,3.0,142.0,49.0,0.34507042253521125
1,Baltimore,7.0,8.0,10.0,4.0,3.0,3.0,6.0,9.0,5.0,9.0,2.0,1.0,10.0,2.0,142.0,79.0,0.5563380281690141
2,Chicago,8.0,0.0,4.0,7.0,2.0,10.0,5.0,0.0,8.0,9.0,7.0,7.0,3.0,2.0,142.0,72.0,0.5070422535211268
3,Columbus,3.0,5.0,3.0,3.0,9.0,5.0,4.0,0.0,2.0,6.0,7.0,5.0,10.0,9.0,142.0,71.0,0.5
4,Dallas,10.0,8.0,1.0,10.0,2.0,6.0,3.0,3.0,1.0,5.0,6.0,6.0,0.0,9.0,142.0,70.0,0.49295774647887325
5,Fort Jackson,2.0,6.0,1.0,9.0,5.0,4.0,6.0,9.0,6.0,6.0,7.0,4.0,10.0,9.0,142.0,84.0,0.5915492957746479
6,Fort Lee,5.0,3.0,10.0,1.0,6.0,8.0,4.0,1.0,7.0,5.0,10.0,2.0,10.0,6.0,142.0,78.0,0.5492957746478874
7,Houston,1.0,3.0,2.0,4.0,9.0,10.0,6.0,3.0,6.0,4.0,10.0,2.0,0.0,3.0,142.0,63.0,0.44366197183098594
8,Jacksonville,1.0,1.0,7.0,8.0,4.0,10.0,3.0,8.0,7.0,5.0,7.0,9.0,5.0,4.0,142.0,79.0,0.5563380281690141
9,Los Angeles,2.0,0.0,8.0,3.0,7.0,4.0,1.0,1.0,9.0,4.0,8.0,2.0,10.0,3.0,142.0,62.0,0.43661971830985913
10,Miami,7.0,1.0,6.0,9.0,5.0,8.0,4.0,1.0,4.0,7.0,5.0,5.0,3.0,4.0,142.0,69.0,0.4859154929577465
11,Montgomery,6.0,7.0,4.0,1.0,4.0,5.0,4.0,9.0,0.0,1.0,0.0,7.0,7.0,6.0,142.0,61.0,0.4295774647887324
12,New York,1.0,8.0,8.0,1.0,6.0,1.0,7.0,10.0,2.0,5.0,6.0,8.0,1.0,10.0,142.0,74.0,0.5211267605633803
13,Phoenix,1.0,6.0,0.0,9.0,8.0,0.0,4.0,0.0,8.0,6.0,4.0,0.0,5.0,2.0,142.0,53.0,0.3732394366197183
14,Raleigh,5.0,7.0,10.0,6.0,2.0,7.0,4.0,8.0,2.0,7.0,9.0,6.0,7.0,8.0,142.0,88.0,0.6197183098591549
15,Sacramento,10.0,2.0,3.0,6.0,10.0,4.0,0.0,7.0,2.0,10.0,2.0,2.0,2.0,0.0,142.0,60.0,0.4225352112676056
16,San Antonio,8.0,1.0,0.0,7.0,0.0,8.0,0.0,1.0,1.0,3.0,8.0,6.0,1.0,8.0,142.0,52.0,0.36619718309859156
17,San Diego,1.0,3.0,10.0,10.0,3.0,1.0,8.0,4.0,1.0,8.0,3.0,9.0,4.0,9.0,142.0,74.0,0.5211267605633803
18,San Jose,6.0,8.0,4.0,3.0,0.0,5.0,5.0,7.0,5.0,10.0,8.0,6.0,9.0,1.0,142.0,77.0,0.5422535211267606
19,St Louis,9.0,1.0,2.0,7.0,1.0,0.0,2.0,10.0,7.0,8.0,1.0,6.0,0.0,0.0,142.0,54.0,0.38028169014084506
