,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,3.0,9.0,6.0,5.0,4.0,2.0,6.0,10.0,6.0,8.0,5.0,6.0,0.0,9.0,142.0,79.0,0.5563380281690141
1,Baltimore,1.0,3.0,3.0,1.0,6.0,10.0,1.0,2.0,5.0,1.0,5.0,2.0,7.0,0.0,142.0,47.0,0.33098591549295775
2,Chicago,8.0,4.0,1.0,10.0,5.0,7.0,9.0,3.0,6.0,6.0,9.0,0.0,3.0,10.0,142.0,81.0,0.5704225352112676
3,Columbus,2.0,9.0,8.0,7.0,6.0,3.0,10.0,6.0,0.0,0.0,9.0,5.0,2.0,10.0,142.0,77.0,0.5422535211267606
4,Dallas,10.0,0.0,0.0,8.0,10.0,6.0,5.0,1.0,3.0,7.0,2.0,8.0,0.0,10.0,142.0,70.0,0.49295774647887325
5,Fort Jackson,5.0,9.0,2.0,2.0,5.0,3.0,2.0,7.0,5.0,6.0,7.0,5.0,9.0,1.0,142.0,68.0,0.4788732394366197
6,Fort Lee,6.0,8.0,3.0,2.0,5.0,7.0,2.0,3.0,8.0,0.0,7.0,3.0,10.0,9.0,142.0,73.0,0.5140845070422535
7,Houston,6.0,0.0,9.0,4.0,7.0,9.0,0.0,3.0,6.0,1.0,7.0,4.0,2.0,6.0,142.0,64.0,0.4507042253521127
8,Jacksonville,3.0,1.0,10.0,9.0,3.0,8.0,0.0,8.0,7.0,9.0,1.0,6.0,4.0,2.0,142.0,71.0,0.5
9,Los Angeles,2.0,10.0,2.0,8.0,10.0,7.0,9.0,1.0,2.0,1.0,3.0,9.0,10.0,2.0,142.0,76.0,0.5352112676056338
10,Miami,1.0,5.0,1.0,7.0,7.0,8.0,10.0,0.0,4.0,10.0,1.0,10.0,4.0,7.0,142.0,75.0,0.528169014084507
