,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,10.0,0.0,7.0,0.0,4.0,1.0,6.0,8.0,4.0,0.0,4.0,5.0,7.0,4.0,142.0,60.0,0.4225352112676056
1,Baltimore,8.0,7.0,6.0,2.0,8.0,0.0,1.0,6.0,10.0,9.0,5.0,7.0,6.0,10.0,142.0,85.0,0.5985915492957746
2,Chicago,0.0,2.0,6.0,0.0,8.0,6.0,1.0,1.0,5.0,8.0,5.0,1.0,4.0,1.0,142.0,48.0,0.3380281690140845
3,Columbus,4.0,4.0,7.0,6.0,5.0,0.0,6.0,8.0,2.0,8.0,5.0,7.0,10.0,9.0,142.0,81.0,0.5704225352112676
4,Dallas,0.0,9.0,3.0,8.0,2.0,1.0,7.0,3.0,6.0,7.0,5.0,5.0,5.0,8.0,142.0,69.0,0.4859154929577465
5,Fort Jackson,2.0,7.0,6.0,6.0,9.0,7.0,3.0,1.0,8.0,1.0,4.0,5.0,1.0,5.0,142.0,65.0,0.45774647887323944
6,Fort Lee,8.0,9.0,6.0,1.0,5.0,8.0,3.0,7.0,9.0,6.0,7.0,5.0,9.0,8.0,142.0,91.0,0.6408450704225352
7,Houston,10.0,0.0,8.0,1.0,10.0,2.0,0.0,9.0,2.0,4.0,10.0,1.0,7.0,1.0,142.0,65.0,0.45774647887323944
8,Jacksonville,2.0,2.0,3.0,3.0,3.0,9.0,2.0,7.0,4.0,4.0,8.0,4.0,8.0,10.0,142.0,69.0,0.4859154929577465
9,Los Angeles,0.0,9.0,7.0,1.0,10.0,9.0,7.0,9.0,4.0,10.0,6.0,8.0,3.0,0.0,142.0,83.0,0.5845070422535211
10,Miami,7.0,3.0,5.0,7.0,8.0,8.0,5.0,7.0,0.0,4.0,1.0,1.0,8.0,8.0,142.0,72.0,0.5070422535211268
11,Montgomery,6.0,5.0,5.0,8.0,0.0,2.0,4.0,4.0,8.0,9.0,6.0,9.0,9.0,7.0,142.0,82.0,0.5774647887323944
12,New York,9.0,4.0,9.0,2.0,9.0,4.0,4.0,0.0,0.0,5.0,4.0,4.0,6.0,2.0,142.0,62.0,0.43661971830985913
13,Phoenix,8.0,9.0,8.0,9.0,1.0,6.0,10.0,1.0,7.0,2.0,0.0,1.0,3.0,0.0,142.0,65.0,0.45774647887323944
14,Raleigh,4.0,7.0,10.0,0.0,5.0,1.0,7.0,9.0,1.0,8.0,5.0,10.0,2.0,1.0,142.0,70.0,0.49295774647887325
15,Sacramento,3.0,8.0,7.0,5.0,0.0,4.0,0.0,8.0,6.0,3.0,0.0,7.0,10.0,5.0,142.0,66.0,0.4647887323943662
16,San Antonio,8.0,3.0,7.0,5.0,4.0,7.0,8.0,1.0,5.0,9.0,0.0,0.0,8.0,1.0,142.0,66.0,0.4647887323943662
17,San Diego,0.0,6.0,2.0,10.0,10.0,5.0,0.0,6.0,8.0,8.0,8.0,3.0,1.0,10.0,142.0,77.0,0.5422535211267606
18,San Jose,5.0,5.0,4.0,9.0,2.0,0.0,8.0,5.0,3.0,0.0,9.0,6.0,10.0,2.0,142.0,68.0,0.4788732394366197
19,St Louis,5.0,5.0,9.0,8.0,2.0,0.0,0.0,2.0,7.0,10.0,5.0,6.0,1.0,7.0,142.0,67.0,0.47183098591549294
